xzqhdm,xzqhmc,pc,mc,lx,sd,dz,lon,lat
530000,云南省,第六批,松山战役旧址,近现代重要史迹及代表性建筑,1944年,云南省龙陵县,98.8355868451826,24.4963499384381
530000,云南省,第六批,茨中教堂,近现代重要史迹及代表性建筑,清,云南省德钦县,99.0301781366833,28.3488510053026
530000,云南省,第六批,寿国寺,古建筑,清,云南省维西傈僳族自治县,99.1452695503009,27.4502038651265
530000,云南省,第六批,保山玉皇阁,古建筑,明,云南省保山市,99.1540329668875,25.1196549212197
530000,云南省,第六批,民族团结誓词碑,近现代重要史迹及代表性建筑,1951年,云南省普洱哈尼族彝族自治县,99.5311136294523,22.399833395433
530000,云南省,第六批,孟连宣抚司署,古建筑,清,云南省孟连傣族拉祜族佤族自治县,99.5600142207335,22.3482193755876
510000,四川省,第六批,白利寺,近现代重要史迹及代表性建筑,1936～1950年,四川省甘孜县,99.7549008399657,32.0257533227045
530000,云南省,第六批,沙溪兴教寺,古建筑,明至民国,云南省剑川县,99.8517601361853,26.3229725113427
530000,云南省,第六批,西门街古建筑群,古建筑,明,云南省剑川县,99.9026808045634,26.5358609686454
150000,内蒙古自治区,第六批,定远营,古建筑,清,内蒙古自治区阿拉善左旗,105.027980272606,39.5408337197827
640000,宁夏回族自治区,第六批,照壁山铜矿遗址,古遗址,汉,宁夏回族自治区中卫市,105.367070894597,37.6983979745554
640000,宁夏回族自治区,第六批,菜园遗址,古遗址,新石器时代,宁夏回族自治区海原县,105.669108582461,36.597466411831
640000,宁夏回族自治区,第六批,将台堡革命旧址,近现代重要史迹及代表性建筑,1936年,宁夏回族自治区西吉县,105.716324130789,35.9338462742797
500000,重庆市,第六批,杨氏民宅,近现代重要史迹及代表性建筑,清,重庆市潼南县,105.744509371883,30.2186017066235
500000,重庆市,第六批,潼南大佛寺摩崖造像,石窟寺及石刻,隋至清,重庆市潼南县,105.806642096166,30.1902765080751
450000,广西壮族自治区,第六批,感驮岩遗址,古遗址,新石器时代至战国,广西壮族自治区那坡县,105.840376360387,23.4154178066451
640000,宁夏回族自治区,第六批,鸽子山遗址,古遗址,旧石器时代,宁夏回族自治区青铜峡市,105.850346881734,38.0506129043911
640000,宁夏回族自治区,第六批,董府,古建筑,清,宁夏回族自治区吴忠市,106.079902994739,37.9222078955286
500000,重庆市,第六批,育才学校旧址,近现代重要史迹及代表性建筑,1939～1945年,重庆市合川市,106.26413346331,29.9781769069451
640000,宁夏回族自治区,第六批,承天寺塔,古建筑,清,宁夏回族自治区银川市,106.265321488651,38.4630914949051
500000,重庆市,第六批,中国西部科学院旧址,近现代重要史迹及代表性建筑,民国,重庆市北碚区,106.432730646633,29.8351606510671
500000,重庆市,第六批,涞滩二佛寺摩崖造像,石窟寺及石刻,宋,重庆市合川市,106.488888264298,30.1766005000002
500000,重庆市,第六批,湖广会馆,古建筑,清,重庆市渝中区,106.583095290115,29.5607431555573
640000,宁夏回族自治区,第六批,灵武窑址,古遗址,宋至明,宁夏回族自治区灵武市,106.650521958444,38.0925898827004
150000,内蒙古自治区,第六批,朔方郡故城,古遗址,汉,内蒙古自治区磴口县、巴彦淖尔市,106.688862882234,40.5478690634623
450000,广西壮族自治区,第六批,连城要塞遗址和友谊关,近现代重要史迹及代表性建筑,明至清,广西壮族自治区北海市、防城港市、宁明县、凭祥市、龙州县、大新县、靖西县、那坡县,106.712054213629,21.9765402367566
640000,宁夏回族自治区,第六批,张家场城址,古遗址,汉,宁夏回族自治区盐池县,106.962451190711,37.5474236308972
450000,广西壮族自治区,第六批,广西农民运动讲习所旧址,近现代重要史迹及代表性建筑,1925年,广西壮族自治区东兰县,107.314727898217,24.3060956697392
150000,内蒙古自治区,第六批,阴山岩画,石窟寺及石刻,新石器至青铜时代,内蒙古自治区乌拉特前旗、乌拉特后旗、乌拉特中旗、磴口县,107.411792840315,40.7615257447244
150000,内蒙古自治区,第六批,净州路故城,古遗址,金至元,内蒙古自治区四子王旗,107.420046516751,40.7651345115444
150000,内蒙古自治区,第六批,城川城址,古遗址,唐,内蒙古自治区鄂托克前旗,107.585500632612,38.2699225273386
450000,广西壮族自治区,第六批,红军标语楼,近现代重要史迹及代表性建筑,1930年,广西壮族自治区河池市,107.843078482152,24.6975257428986
150000,内蒙古自治区,第六批,霍洛柴登城址,古遗址,汉,内蒙古自治区杭锦旗,108.201050207092,40.2058473466243
610000,陕西省,第六批,秦直道遗址,古遗址,秦,内蒙古自治区鄂尔多斯市，陕西省旬邑县,108.482951070085,35.2110994225796
450000,广西壮族自治区,第六批,智城城址,古遗址,唐,广西壮族自治区上林县,108.635483113699,23.5186627691099
450000,广西壮族自治区,第六批,昆仑关战役旧址,近现代重要史迹及代表性建筑,1939～1940年,广西壮族自治区南宁市、宾阳县、柳州市,108.678067563624,23.0933303909548
150000,内蒙古自治区,第六批,“独贵龙”运动旧址,近现代重要史迹及代表性建筑,1919～1921年,内蒙古自治区乌审旗,108.967816180715,38.4106936209696
150000,内蒙古自治区,第六批,沃野镇故城,古遗址,汉至南北朝,内蒙古自治区乌拉特前旗,109.093047676305,40.8982018932317
450000,广西壮族自治区,第六批,胡志明旧居,近现代重要史迹及代表性建筑,1942～1954年,广西壮族自治区柳州市,109.403383495312,24.3019175378212
450000,广西壮族自治区,第六批,鲤鱼嘴遗址,古遗址,旧石器至新石器时代,广西壮族自治区柳州市,109.407334744293,24.2819922141813
450000,广西壮族自治区,第六批,柳侯祠碑刻,石窟寺及石刻,宋至民国,广西壮族自治区柳州市,109.410703039325,24.3185366809567
450000,广西壮族自治区,第六批,白莲洞遗址,古遗址,旧石器至新石器时代,广西壮族自治区柳州市,109.426615717016,24.216352107656
500000,重庆市,第六批,白帝城,古建筑,明至清,重庆市奉节县,109.57022050146,31.0429278691194
150000,内蒙古自治区,第六批,安答堡子城址,古遗址,金至元,内蒙古自治区达尔罕茂明安联合旗,109.573032396783,41.4895133110033
450000,广西壮族自治区,第六批,马胖鼓楼,近现代重要史迹及代表性建筑,民国,广西壮族自治区三江侗族自治县,109.585064673419,25.9437020150829
150000,内蒙古自治区,第六批,麻池城址和召湾墓群,古遗址,汉,内蒙古自治区包头市,109.823516642805,40.5864436115834
150000,内蒙古自治区,第六批,阿善遗址,古遗址,新石器时代,内蒙古自治区包头市,109.833992045748,40.6401476187186
